Category_Footwear,Dominant_Season_Fall,Dominant_Season_Summer,Dominant_Season_Spring,Dominant_Season_Winter,Category_Clothing,Category_Accessories,Age,Customer_Loyalty_Score,Previous_Purchases,Size_encoded,Gender_Female,Category_Outerwear,Discount_Applied_encoded,Interaction_Score
0,0,0,1,0,1,0,0.7115384615384616,0.546122448979592,0.2653061224489795,0,0,0,1,0.2917500000000002
0,0,0,1,0,1,0,0.0192307692307692,0.4481632653061225,0.0204081632653061,0,0,0,1,0.3330000000000002
0,1,0,0,0,1,0,0.6153846153846154,0.6995918367346938,0.4489795918367346,2,0,0,1,0.36675000000000013
1,1,0,0,0,0,0,0.0576923076923077,0.9118367346938776,0.9795918367346936,1,0,0,1,0.5425
0,0,0,1,0,1,0,0.5192307692307693,0.4448979591836735,0.6122448979591836,1,0,0,1,0.16475
1,0,0,1,0,0,0,0.5384615384615385,0.6261224489795918,0.2653061224489795,1,0,0,1,0.11199999999999992
0,0,0,0,1,1,0,0.8653846153846155,0.6718367346938775,0.9795918367346936,1,0,0,1,0.4397500000000001
0,0,0,1,0,1,0,0.1730769230769231,0.6669387755102041,0.3673469387755101,0,0,0,1,0.2485000000000001
0,0,0,1,0,0,0,0.1538461538461538,0.2571428571428571,0.1428571428571428,0,0,1,1,0.31675
0,1,0,0,0,0,1,0.7500000000000001,0.30448979591836733,0.0612244897959183,1,0,0,1,0.68525
1,0,1,0,0,0,0,0.6730769230769232,0.8040816326530613,0.510204081632653,0,0,0,1,0.5005
0,0,0,1,0,1,0,0.2307692307692308,0.513469387755102,0.183673469387755,2,0,0,1,0.8520000000000001
0,0,0,1,0,0,0,0.826923076923077,0.7338775510204081,0.7346938775510203,1,0,1,1,0.7549999999999999
0,0,1,0,0,1,0,0.903846153846154,0.7648979591836735,0.6122448979591836,1,0,0,1,0.73225
0,0,0,1,0,0,0,0.8846153846153847,0.789387755102041,0.673469387755102,0,0,1,1,0.73975
0,1,0,0,0,1,0,0.8846153846153847,0.41714285714285715,0.1428571428571428,1,0,0,1,0.31274999999999986
0,0,0,0,1,0,1,0.1346153846153846,0.9510204081632654,0.8775510204081631,2,0,0,1,0.5079999999999999
0,0,1,0,0,1,0,0.6730769230769232,0.5657142857142857,0.7142857142857142,3,0,0,1,0.6835
0,0,0,1,0,1,0,0.6538461538461539,0.6506122448979592,0.3265306122448979,2,0,0,1,0.6929999999999998
0,0,0,0,1,1,0,0.9230769230769232,0.9673469387755103,0.9183673469387754,1,0,0,1,0.4865
0,0,0,0,1,1,0,0.0576923076923077,0.68,1.0,1,0,0,1,0.20024999999999984
0,0,0,0,1,1,0,0.25,0.45142857142857146,0.4285714285714285,1,0,0,1,0.6054999999999999
0,0,0,0,1,1,0,0.730769230769231,0.4530612244897959,0.6326530612244897,1,0,0,1,0.25975000000000015
0,0,0,0,1,1,0,0.25,0.8383673469387756,0.7959183673469387,3,0,0,1,0.7870000000000001
0,1,0,0,0,0,0,0.0,0.6424489795918368,0.3061224489795918,1,0,1,1,0.11949999999999991
0,0,0,0,1,1,0,0.0,0.30612244897959184,0.2653061224489795,1,0,0,1,0.32675000000000004
0,0,1,0,0,0,1,0.3846153846153847,0.2979591836734694,0.2448979591836734,1,0,0,1,0.30800000000000005
0,0,0,1,0,1,0,0.730769230769231,0.3289795918367347,0.1224489795918367,0,0,0,1,0.835
0,1,0,0,0,0,1,0.6923076923076924,0.6065306122448979,0.8163265306122448,1,0,0,1,0.8095000000000001
0,0,1,0,0,1,0,0.25,0.6261224489795918,0.2653061224489795,2,0,0,1,0.5529999999999999
0,0,1,0,0,0,1,0.7500000000000001,0.48244897959183675,0.3061224489795918,0,0,0,1,0.65725
0,0,1,0,0,1,0,0.2884615384615385,0.7191836734693877,0.8979591836734693,0,0,0,1,0.83725
0,1,0,0,0,0,0,0.3461538461538461,0.49387755102040815,0.7346938775510203,1,0,1,1,0.8482500000000001
0,0,0,0,1,1,0,0.6923076923076924,0.6391836734693878,0.8979591836734693,0,0,0,1,0.2915
0,0,0,0,1,1,0,0.3461538461538461,0.5820408163265307,0.7551020408163265,0,0,0,1,0.8542499999999998
0,0,0,1,0,1,0,0.6923076923076924,0.9836734693877551,0.9591836734693876,1,0,0,1,0.46875000000000006
0,0,0,0,1,1,0,0.326923076923077,0.7910204081632652,0.8775510204081631,1,0,0,1,0.7717499999999998
0,1,0,0,0,1,0,0.326923076923077,0.593469387755102,0.183673469387755,2,0,0,1,0.17774999999999985
0,0,1,0,0,1,0,0.2115384615384615,0.6310204081632653,0.8775510204081631,1,0,0,1,0.39975000000000016
0,0,0,0,1,1,0,1.0,0.4987755102040817,0.346938775510204,2,0,0,1,0.6260000000000001
0,1,0,0,0,0,1,0.980769230769231,0.5248979591836735,0.6122448979591836,0,0,0,1,0.7979999999999998
0,0,1,0,0,0,1,0.9423076923076924,0.5183673469387755,0.7959183673469387,1,0,0,1,0.63125
0,0,0,1,0,0,0,0.0384615384615384,0.3142857142857143,0.2857142857142856,1,0,1,1,0.7479999999999999
0,0,1,0,0,0,1,0.1346153846153846,0.586938775510204,0.3673469387755101,0,0,0,1,0.5197500000000002
0,1,0,0,0,0,1,0.4038461538461538,0.8791836734693879,0.8979591836734693,2,0,0,1,0.7117499999999999
0,1,0,0,0,1,0,0.6153846153846154,0.3959183673469388,0.4897959183673469,3,0,0,1,0.11574999999999992
0,0,0,0,1,1,0,0.7500000000000001,0.6391836734693878,0.8979591836734693,0,0,0,1,0.19824999999999993
0,0,1,0,0,0,1,0.7115384615384616,0.8057142857142858,0.7142857142857142,1,0,0,1,0.6875
0,0,0,0,1,1,0,0.4615384615384615,0.6620408163265307,0.7551020408163265,1,0,0,1,0.18725
0,0,0,0,1,1,0,0.9615384615384616,0.869387755102041,0.673469387755102,2,0,0,1,0.6254999999999998
0,0,0,1,0,1,0,0.5961538461538463,0.9102040816326531,0.7755102040816325,1,0,0,1,0.3660000000000001
0,1,0,0,0,1,0,0.7884615384615384,0.3289795918367347,0.1224489795918367,3,0,0,1,0.76225
0,0,0,0,1,1,0,0.4615384615384615,0.7240816326530612,0.510204081632653,1,0,0,1,0.027999999999999997
0,1,0,0,0,1,0,0.2115384615384615,0.7975510204081633,0.693877551020408,2,0,0,1,0.40700000000000003
0,0,0,1,0,0,0,0.5576923076923077,0.8775510204081634,0.693877551020408,1,0,1,1,0.7535000000000001
0,1,0,0,0,0,0,0.4230769230769231,0.5918367346938775,0.9795918367346936,1,0,1,1,0.17000000000000007
0,0,1,0,0,0,1,0.4423076923076924,0.8873469387755102,0.9183673469387754,3,0,0,1,0.81475
0,0,0,1,0,0,0,0.0576923076923077,0.5706122448979591,0.3265306122448979,1,0,1,1,0.6970000000000002
0,0,0,0,1,1,0,0.980769230769231,0.5885714285714285,0.5714285714285714,1,0,0,1,0.6035000000000001
0,1,0,0,0,0,1,0.8653846153846155,0.5444897959183674,0.0612244897959183,0,0,0,1,0.8092499999999998
0,0,0,1,0,1,0,0.6153846153846154,0.6506122448979592,0.3265306122448979,0,0,0,1,0.48375
0,0,1,0,0,0,1,0.7115384615384616,0.44326530612244897,0.4081632653061224,1,0,0,1,0.796
1,0,0,1,0,0,0,0.2307692307692308,0.6848979591836735,0.6122448979591836,2,0,0,1,0.36774999999999997
0,0,0,0,1,0,1,0.2884615384615385,0.862857142857143,0.8571428571428571,0,0,0,1,0.27725
1,0,0,1,0,0,0,0.903846153846154,0.5787755102040817,0.346938775510204,2,0,0,1,0.88025
0,0,1,0,0,0,1,0.903846153846154,0.6310204081632653,0.8775510204081631,1,0,0,1,0.704
0,0,0,1,0,1,0,0.25,0.2963265306122449,0.0408163265306122,2,0,0,1,0.8935
0,0,0,1,0,0,0,0.5192307692307693,0.7518367346938775,0.9795918367346936,0,0,1,1,0.5807500000000001
0,1,0,0,0,0,1,0.7500000000000001,0.44326530612244897,0.4081632653061224,0,0,0,1,0.48950000000000005
0,1,0,0,0,0,1,0.576923076923077,0.5526530612244898,0.0816326530612244,2,0,0,1,0.7195000000000001
0,1,0,0,0,0,1,0.0769230769230769,0.5330612244897959,0.6326530612244897,1,0,0,1,0.5097500000000001
0,0,1,0,0,1,0,0.3461538461538461,0.46938775510204084,0.673469387755102,0,0,0,1,0.21699999999999994
0,0,1,0,0,1,0,0.0,0.44326530612244897,0.4081632653061224,1,0,0,1,0.13449999999999993
0,0,0,0,1,1,0,0.576923076923077,0.9428571428571431,0.8571428571428571,1,0,0,1,0.29974999999999996
0,0,0,1,0,0,1,0.5961538461538463,0.3763265306122449,0.0408163265306122,0,0,0,1,0.7024999999999999
0,0,1,0,0,0,1,0.8846153846153847,0.363265306122449,0.4081632653061224,1,0,0,1,0.29974999999999996
0,1,0,0,0,0,1,0.6153846153846154,0.6130612244897959,0.6326530612244897,2,0,0,1,0.5622500000000001
0,0,1,0,0,1,0,0.0769230769230769,0.7257142857142858,0.7142857142857142,0,0,0,1,0.34775
0,1,0,0,0,1,0,0.6153846153846154,0.8400000000000001,1.0,1,0,0,1,0.88225
0,1,0,0,0,0,0,0.3846153846153847,0.6228571428571429,0.8571428571428571,1,0,1,1,0.31300000000000006
1,1,0,0,0,0,0,0.0192307692307692,0.46775510204081633,0.4693877551020408,3,0,0,1,0.419
1,0,1,0,0,0,0,0.9423076923076924,0.5657142857142857,0.7142857142857142,0,0,0,1,0.31300000000000006
0,0,0,0,1,1,0,0.0192307692307692,0.44326530612244897,0.4081632653061224,2,0,0,1,0.45000000000000007
0,0,1,0,0,1,0,0.3461538461538461,0.789387755102041,0.673469387755102,1,0,0,1,0.5229999999999999
0,0,0,1,0,0,0,0.6538461538461539,0.6146938775510205,0.836734693877551,2,0,1,1,0.5770000000000002
0,0,0,0,1,0,1,0.6730769230769232,0.6081632653061226,0.0204081632653061,1,0,0,1,0.8412499999999999
0,0,0,0,1,1,0,0.1153846153846154,0.9755102040816328,0.9387755102040816,0,0,0,1,0.4147500000000001
1,0,1,0,0,0,0,0.6538461538461539,0.7910204081632652,0.8775510204081631,1,0,0,1,0.45975000000000016
0,0,0,0,1,1,0,0.2884615384615385,0.6375510204081632,0.693877551020408,1,0,0,1,0.38125000000000003
0,1,0,0,0,0,0,0.5576923076923077,0.39428571428571424,0.2857142857142856,3,0,1,1,0.5442500000000001
0,1,0,0,0,0,1,0.1346153846153846,0.5885714285714285,0.5714285714285714,0,0,0,1,0.21699999999999994
0,0,1,0,0,0,1,0.5000000000000001,0.41877551020408166,0.346938775510204,2,0,0,1,0.8842499999999999
0,1,0,0,0,0,0,0.826923076923077,0.37795918367346937,0.2448979591836734,1,0,1,1,0.7832500000000002
0,0,0,1,0,1,0,0.3653846153846154,0.8873469387755102,0.9183673469387754,1,0,0,1,0.7174999999999999
0,1,0,0,0,1,0,0.7692307692307693,0.7404081632653061,0.5510204081632653,2,0,0,1,0.7979999999999998
1,0,0,1,0,0,0,0.3653846153846154,0.7436734693877551,0.9591836734693876,0,0,0,1,0.6639999999999999
0,0,0,1,0,0,1,0.2692307692307693,0.6228571428571429,0.8571428571428571,2,0,0,1,0.50675
1,0,1,0,0,0,0,0.0576923076923077,0.49387755102040815,0.7346938775510203,1,0,0,1,0.914
0,1,0,0,0,1,0,0.0384615384615384,0.3551020408163265,0.3877551020408162,3,0,0,1,0.20425
0,0,0,0,1,1,0,0.1538461538461538,0.5412244897959184,0.6530612244897959,3,0,0,1,0.41100000000000014
0,0,0,0,1,0,1,0.8461538461538461,0.6848979591836735,0.6122448979591836,1,0,0,1,0.3485
0,0,0,1,0,0,0,0.1730769230769231,1.0000000000000002,1.0,3,0,1,1,0.8317499999999999
0,1,0,0,0,1,0,0.6346153846153847,0.5575510204081633,0.693877551020408,0,0,0,1,0.82025
1,0,0,1,0,0,0,0.6923076923076924,0.7714285714285716,0.4285714285714285,0,0,0,1,0.67875
0,0,0,0,1,0,1,0.7115384615384616,0.36000000000000004,0.0,0,0,0,1,0.5470000000000002
0,0,1,0,0,0,1,0.980769230769231,0.22448979591836732,0.0612244897959183,1,0,0,1,0.5930000000000001
0,1,0,0,0,0,0,0.8846153846153847,0.6048979591836734,0.6122448979591836,0,0,1,1,0.3922500000000001
1,0,0,1,0,0,0,0.1923076923076924,0.8073469387755101,0.9183673469387754,0,0,0,1,0.34425000000000017
0,1,0,0,0,1,0,1.0,0.8530612244897959,0.6326530612244897,0,0,0,1,0.47325000000000006
0,0,0,0,1,1,0,0.7692307692307693,0.7828571428571429,0.8571428571428571,1,0,0,1,0.27175
0,0,1,0,0,0,1,0.730769230769231,0.6440816326530612,0.510204081632653,1,0,0,1,0.44250000000000006
0,1,0,0,0,0,1,0.1538461538461538,0.26530612244897955,0.1632653061224489,0,0,0,1,0.90625
0,0,0,1,0,0,1,0.3653846153846154,0.8204081632653062,0.5510204081632653,1,0,0,1,0.67275
0,1,0,0,0,0,1,0.5000000000000001,0.43510204081632653,0.3877551020408162,0,0,0,1,0.29550000000000015
0,0,0,1,0,0,0,1.0,0.5853061224489797,0.1632653061224489,2,0,1,1,0.6172500000000001
0,1,0,0,0,1,0,0.6730769230769232,0.6636734693877551,0.9591836734693876,1,0,0,1,0.6415
1,0,1,0,0,0,0,0.7115384615384616,0.2897959183673469,0.2244897959183673,2,0,0,1,0.49950000000000006
1,1,0,0,0,0,0,0.6153846153846154,0.6685714285714286,0.5714285714285714,0,0,0,1,0.6329999999999999
0,0,0,1,0,1,0,0.6153846153846154,0.8122448979591839,0.5306122448979591,0,0,0,1,0.73775
0,0,0,1,0,0,0,0.3846153846153847,0.5510204081632653,0.8775510204081631,1,0,1,1,0.714
0,1,0,0,0,0,1,0.8846153846153847,0.4530612244897959,0.6326530612244897,0,0,0,1,0.66
0,0,0,1,0,1,0,0.0192307692307692,0.5216326530612245,0.2040816326530612,1,0,0,1,0.671
0,0,1,0,0,0,1,0.4230769230769231,0.7910204081632652,0.8775510204081631,0,0,0,1,0.719
0,0,0,1,0,1,0,0.7500000000000001,0.8873469387755102,0.9183673469387754,0,0,0,1,0.42675000000000013
0,0,0,1,0,1,0,0.5000000000000001,0.6000000000000001,1.0,1,0,0,1,0.4155000000000001
0,0,0,1,0,1,0,0.5961538461538463,0.6391836734693878,0.8979591836734693,1,0,0,1,0.43550000000000005
0,0,0,1,0,1,0,0.4807692307692308,0.6636734693877551,0.9591836734693876,0,0,0,1,0.452
0,0,0,1,0,1,0,0.1153846153846154,0.7240816326530612,0.510204081632653,1,0,0,1,0.9027499999999999
0,0,1,0,0,0,1,0.0384615384615384,0.6032653061224491,0.4081632653061224,1,0,0,1,0.661
0,0,1,0,0,1,0,0.1153846153846154,0.9918367346938777,0.9795918367346936,3,0,0,1,0.6522500000000001
0,0,1,0,0,0,1,0.5000000000000001,0.5379591836734694,0.2448979591836734,0,0,0,1,0.4072500000000001
0,1,0,0,0,1,0,0.1923076923076924,0.8873469387755102,0.9183673469387754,0,0,0,1,0.42575
0,0,1,0,0,0,1,0.2307692307692308,0.8546938775510204,0.836734693877551,1,0,0,1,0.7585
0,0,0,1,0,1,0,0.6538461538461539,0.3959183673469388,0.4897959183673469,1,0,0,1,0.16874999999999998
0,1,0,0,0,0,1,0.4807692307692308,0.5559183673469388,0.4897959183673469,0,0,0,1,0.9495
1,1,0,0,0,0,0,0.4807692307692308,0.36979591836734693,0.2244897959183673,1,0,0,1,0.6767499999999999
0,0,0,1,0,1,0,0.4038461538461538,0.30448979591836733,0.0612244897959183,1,0,0,1,0.4714999999999999
1,0,0,1,0,0,0,0.9615384615384616,0.8220408163265307,0.7551020408163265,1,0,0,1,0.70225
0,1,0,0,0,1,0,0.9615384615384616,0.8546938775510204,0.836734693877551,1,0,0,1,0.5657500000000002
0,0,0,1,0,0,0,0.5961538461538463,0.436734693877551,0.5918367346938774,1,0,1,1,0.64525
0,0,0,0,1,1,0,0.8653846153846155,0.9200000000000002,1.0,0,0,0,1,0.42200000000000004
0,0,0,1,0,0,1,0.730769230769231,0.8791836734693879,0.8979591836734693,1,0,0,1,0.7695000000000001
0,1,0,0,0,0,0,0.3653846153846154,0.7012244897959183,0.6530612244897959,0,0,1,1,0.31050000000000016
0,0,0,1,0,0,0,0.2307692307692308,0.4759183673469388,0.4897959183673469,1,0,1,1,0.16100000000000003
1,0,1,0,0,0,0,0.0192307692307692,0.5559183673469388,0.4897959183673469,1,0,0,1,0.2822500000000001
0,0,1,0,0,0,1,0.1153846153846154,0.6310204081632653,0.8775510204081631,1,0,0,1,0.8412499999999999
0,1,0,0,0,1,0,0.6538461538461539,0.6032653061224491,0.4081632653061224,2,0,0,1,0.4575
1,0,1,0,0,0,0,0.8653846153846155,0.6848979591836735,0.6122448979591836,1,0,0,1,0.44500000000000006
0,0,0,1,0,0,1,0.3653846153846154,0.5755102040816327,0.9387755102040816,1,0,0,1,0.2905
0,0,0,0,1,1,0,0.3846153846153847,0.4661224489795918,0.2653061224489795,1,0,0,1,0.40600000000000014
1,0,0,1,0,0,0,0.326923076923077,0.4106122448979592,0.3265306122448979,0,0,0,1,0.9570000000000001
0,0,0,0,1,0,1,0.1923076923076924,0.21632653061224488,0.0408163265306122,0,0,0,1,0.6612499999999999
0,0,0,0,1,1,0,0.2307692307692308,0.5346938775510204,0.836734693877551,2,0,0,1,0.74775
0,0,0,0,1,1,0,0.980769230769231,0.37142857142857144,0.4285714285714285,1,0,0,1,0.32725000000000015
0,0,1,0,0,1,0,0.4423076923076924,0.44326530612244897,0.4081632653061224,1,0,0,1,0.6005
