Customer ID,Category_Footwear,Dominant_Season_Fall,Dominant_Season_Summer,Dominant_Season_Spring,Dominant_Season_Winter,Category_Clothing,Category_Accessories,Age,Customer_Loyalty_Score,Previous_Purchases,Size_encoded,Gender_Female,Category_Outerwear,Discount_Applied_encoded,Interaction_Score
1,0,0,0,1,0,1,0,0.7115384615384616,0.546122448979592,0.2653061224489795,0,0,0,1,0.2917500000000002
2,0,0,0,1,0,1,0,0.0192307692307692,0.4481632653061225,0.0204081632653061,0,0,0,1,0.3330000000000002
3,0,1,0,0,0,1,0,0.6153846153846154,0.6995918367346938,0.4489795918367346,2,0,0,1,0.3667500000000001
4,1,1,0,0,0,0,0,0.0576923076923077,0.9118367346938776,0.9795918367346936,1,0,0,1,0.5425
5,0,0,0,1,0,1,0,0.5192307692307693,0.4448979591836735,0.6122448979591836,1,0,0,1,0.16475
6,1,0,0,1,0,0,0,0.5384615384615385,0.6261224489795918,0.2653061224489795,1,0,0,1,0.1119999999999999
7,0,0,0,0,1,1,0,0.8653846153846155,0.6718367346938775,0.9795918367346936,1,0,0,1,0.4397500000000001
8,0,0,0,1,0,1,0,0.1730769230769231,0.6669387755102041,0.3673469387755101,0,0,0,1,0.2485000000000001
9,0,0,0,1,0,0,0,0.1538461538461538,0.2571428571428571,0.1428571428571428,0,0,1,1,0.31675
10,0,1,0,0,0,0,1,0.7500000000000001,0.3044897959183673,0.0612244897959183,1,0,0,1,0.68525
11,1,0,1,0,0,0,0,0.6730769230769232,0.8040816326530613,0.510204081632653,0,0,0,1,0.5005
12,0,0,0,1,0,1,0,0.2307692307692308,0.513469387755102,0.183673469387755,2,0,0,1,0.8520000000000001
13,0,0,0,1,0,0,0,0.826923076923077,0.7338775510204081,0.7346938775510203,1,0,1,1,0.7549999999999999
14,0,0,1,0,0,1,0,0.903846153846154,0.7648979591836735,0.6122448979591836,1,0,0,1,0.73225
15,0,0,0,1,0,0,0,0.8846153846153847,0.789387755102041,0.673469387755102,0,0,1,1,0.73975
16,0,1,0,0,0,1,0,0.8846153846153847,0.4171428571428571,0.1428571428571428,1,0,0,1,0.3127499999999998
17,0,0,0,0,1,0,1,0.1346153846153846,0.9510204081632654,0.8775510204081631,2,0,0,1,0.5079999999999999
18,0,0,1,0,0,1,0,0.6730769230769232,0.5657142857142857,0.7142857142857142,3,0,0,1,0.6835
19,0,0,0,1,0,1,0,0.6538461538461539,0.6506122448979592,0.3265306122448979,2,0,0,1,0.6929999999999998
20,0,0,0,0,1,1,0,0.9230769230769232,0.9673469387755104,0.9183673469387754,1,0,0,1,0.4865
21,0,0,0,0,1,1,0,0.0576923076923077,0.68,1.0,1,0,0,1,0.2002499999999998
22,0,0,0,0,1,1,0,0.25,0.4514285714285714,0.4285714285714285,1,0,0,1,0.6054999999999999
23,0,0,0,0,1,1,0,0.730769230769231,0.4530612244897959,0.6326530612244897,1,0,0,1,0.2597500000000001
24,0,0,0,0,1,1,0,0.25,0.8383673469387756,0.7959183673469387,3,0,0,1,0.7870000000000001
25,0,1,0,0,0,0,0,0.0,0.6424489795918368,0.3061224489795918,1,0,1,1,0.1194999999999999
26,0,0,0,0,1,1,0,0.0,0.3061224489795918,0.2653061224489795,1,0,0,1,0.32675
27,0,0,1,0,0,0,1,0.3846153846153847,0.2979591836734694,0.2448979591836734,1,0,0,1,0.308
28,0,0,0,1,0,1,0,0.730769230769231,0.3289795918367347,0.1224489795918367,0,0,0,1,0.835
29,0,1,0,0,0,0,1,0.6923076923076924,0.6065306122448979,0.8163265306122448,1,0,0,1,0.8095000000000001
30,0,0,1,0,0,1,0,0.25,0.6261224489795918,0.2653061224489795,2,0,0,1,0.5529999999999999
31,0,0,1,0,0,0,1,0.7500000000000001,0.4824489795918367,0.3061224489795918,0,0,0,1,0.65725
32,0,0,1,0,0,1,0,0.2884615384615385,0.7191836734693877,0.8979591836734693,0,0,0,1,0.83725
33,0,1,0,0,0,0,0,0.3461538461538461,0.4938775510204081,0.7346938775510203,1,0,1,1,0.8482500000000001
34,0,0,0,0,1,1,0,0.6923076923076924,0.6391836734693878,0.8979591836734693,0,0,0,1,0.2915
35,0,0,0,0,1,1,0,0.3461538461538461,0.5820408163265307,0.7551020408163265,0,0,0,1,0.8542499999999998
36,0,0,0,1,0,1,0,0.6923076923076924,0.9836734693877552,0.9591836734693876,1,0,0,1,0.46875
37,0,0,0,0,1,1,0,0.326923076923077,0.7910204081632652,0.8775510204081631,1,0,0,1,0.7717499999999998
38,0,1,0,0,0,1,0,0.326923076923077,0.593469387755102,0.183673469387755,2,0,0,1,0.1777499999999998
39,0,0,1,0,0,1,0,0.2115384615384615,0.6310204081632653,0.8775510204081631,1,0,0,1,0.3997500000000001
40,0,0,0,0,1,1,0,1.0,0.4987755102040817,0.346938775510204,2,0,0,1,0.6260000000000001
41,0,1,0,0,0,0,1,0.980769230769231,0.5248979591836735,0.6122448979591836,0,0,0,1,0.7979999999999998
42,0,0,1,0,0,0,1,0.9423076923076924,0.5183673469387755,0.7959183673469387,1,0,0,1,0.63125
43,0,0,0,1,0,0,0,0.0384615384615384,0.3142857142857143,0.2857142857142856,1,0,1,1,0.7479999999999999
