Customer ID,Age,Item Purchased,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,Gender_Female,Category_Accessories,Category_Clothing,Category_Footwear,Category_Outerwear,Item Purchased_encoded,Location_encoded,Size_encoded,Color_encoded,Season_encoded,Subscription Status_encoded,Payment Method_encoded,Shipping Type_encoded,Discount Applied_encoded,Frequency of Purchases_encoded
1,0.7115384615384616,Blouse,0.4125000000000001,Kentucky,L,Gray,Winter,0.2400000000000002,Yes,Express,Yes,Yes,0.26530612244897955,Venmo,Fortnightly,0,0,1,0,0,2,16,0,7,3,1,5,1,1,3
2,0.019230769230769273,Sweater,0.55,Maine,L,Maroon,Winter,0.2400000000000002,Yes,Express,Yes,Yes,0.02040816326530612,Cash,Fortnightly,0,0,1,0,0,23,18,0,12,3,1,1,1,1,3
3,0.6153846153846154,Jeans,0.6625000000000001,Massachusetts,S,Maroon,Spring,0.2400000000000002,Yes,Free Shipping,Yes,Yes,0.44897959183673464,Credit Card,Weekly,0,0,1,0,0,11,20,2,12,1,1,2,2,1,6
4,0.05769230769230771,Sandals,0.875,Rhode Island,M,Maroon,Spring,0.40000000000000013,Yes,Next Day Air,Yes,Yes,0.9795918367346937,PayPal,Weekly,0,0,0,1,0,14,38,1,12,1,1,4,3,1,6
5,0.5192307692307693,Blouse,0.36250000000000004,Oregon,M,Turquoise,Spring,0.08000000000000007,Yes,Free Shipping,Yes,Yes,0.6122448979591836,PayPal,Annually,0,0,1,0,0,2,36,1,21,1,1,4,2,1,0
6,0.5384615384615385,Sneakers,0.0,Wyoming,M,White,Summer,0.15999999999999992,Yes,Standard,Yes,Yes,0.26530612244897955,Venmo,Weekly,0,0,0,1,0,20,49,1,23,2,1,5,4,1,6
7,0.8653846153846155,Shirt,0.8125,Montana,M,Gray,Fall,0.28000000000000025,Yes,Free Shipping,Yes,Yes,0.9795918367346937,Cash,Quarterly,0,0,1,0,0,16,25,1,7,0,1,1,2,1,5
8,0.17307692307692313,Shorts,0.17500000000000004,Louisiana,L,Charcoal,Winter,0.28000000000000025,Yes,Free Shipping,Yes,Yes,0.36734693877551017,Credit Card,Weekly,0,0,1,0,0,18,17,0,4,3,1,2,2,1,6
9,0.15384615384615385,Coat,0.9625000000000001,West Virginia,L,Silver,Summer,0.040000000000000036,Yes,Express,Yes,Yes,0.14285714285714285,Venmo,Annually,0,0,0,0,1,4,47,0,19,2,1,5,1,1,0
10,0.7500000000000001,Handbag,0.1375,Missouri,M,Pink,Spring,0.9199999999999999,Yes,2-Day Shipping,Yes,Yes,0.061224489795918366,Cash,Quarterly,0,1,0,0,0,7,24,1,16,1,1,1,0,1,5
11,0.6730769230769232,Shoes,0.17500000000000004,Arkansas,L,Purple,Fall,0.6399999999999999,Yes,Store Pickup,Yes,Yes,0.510204081632653,Bank Transfer,Bi-Weekly,0,0,0,1,0,17,3,0,17,0,1,0,5,1,1
12,0.23076923076923084,Shorts,0.6000000000000001,Hawaii,S,Olive,Winter,0.9600000000000002,Yes,Store Pickup,Yes,Yes,0.18367346938775508,Bank Transfer,Fortnightly,0,0,1,0,0,18,10,2,13,3,1,0,5,1,3
13,0.826923076923077,Coat,0.65,Delaware,M,Gold,Winter,0.8,Yes,Express,Yes,Yes,0.7346938775510203,Venmo,Fortnightly,0,0,0,0,1,4,7,1,6,3,1,5,1,1,3
14,0.9038461538461539,Dress,0.38750000000000007,New Hampshire,M,Violet,Spring,0.8800000000000001,Yes,Express,Yes,Yes,0.6122448979591836,PayPal,Weekly,0,0,1,0,0,5,28,1,22,1,1,4,1,1,6
15,0.8846153846153847,Coat,0.4125000000000001,New York,L,Teal,Winter,0.8800000000000001,Yes,Free Shipping,Yes,Yes,0.673469387755102,Debit Card,Weekly,0,0,0,0,1,4,31,0,20,3,1,3,2,1,6
16,0.8846153846153847,Skirt,0.7625,Rhode Island,M,Teal,Winter,0.11999999999999988,Yes,Store Pickup,Yes,Yes,0.14285714285714285,PayPal,Monthly,0,0,1,0,0,19,38,1,20,3,1,4,5,1,4
17,0.13461538461538464,Sunglasses,0.2,Alabama,S,Gray,Spring,0.6399999999999999,Yes,Next Day Air,Yes,Yes,0.8775510204081631,Debit Card,Bi-Weekly,0,1,0,0,0,22,0,2,7,1,1,3,3,1,1
18,0.6730769230769232,Dress,0.22500000000000003,Mississippi,XL,Lavender,Winter,0.8800000000000001,Yes,2-Day Shipping,Yes,Yes,0.7142857142857142,Venmo,Quarterly,0,0,1,0,0,5,23,3,10,3,1,5,0,1,5
19,0.6538461538461539,Sweater,0.3500000000000001,Montana,S,Black,Summer,0.8399999999999999,Yes,Free Shipping,Yes,Yes,0.32653061224489793,Cash,Weekly,0,0,1,0,0,23,25,2,1,2,1,1,2,1,6
20,0.9230769230769232,Pants,0.875,Rhode Island,M,Green,Summer,0.32000000000000006,Yes,Standard,Yes,Yes,0.9183673469387754,Debit Card,Bi-Weekly,0,0,1,0,0,13,38,1,8,2,1,3,4,1,1
21,0.05769230769230771,Pants,0.38750000000000007,Louisiana,M,Black,Winter,0.11999999999999988,Yes,Express,Yes,Yes,1.0,Cash,Every 3 Months,0,0,1,0,0,13,17,1,1,3,1,1,1,1,2
22,0.25,Pants,0.525,North Carolina,M,Charcoal,Winter,0.6399999999999999,Yes,Store Pickup,Yes,Yes,0.4285714285714285,Debit Card,Quarterly,0,0,1,0,0,13,32,1,4,3,1,3,5,1,5
23,0.730769230769231,Pants,0.21250000000000002,California,M,Peach,Summer,0.28000000000000025,Yes,Store Pickup,Yes,Yes,0.6326530612244897,Debit Card,Annually,0,0,1,0,0,13,4,1,15,2,1,3,5,1,0
24,0.25,Pants,0.8500000000000001,Oklahoma,XL,White,Winter,0.7600000000000002,Yes,Express,Yes,Yes,0.7959183673469387,Credit Card,Weekly,0,0,1,0,0,13,35,3,23,3,1,2,1,1,6
25,0.0,Jacket,0.025000000000000022,Florida,M,Green,Fall,0.15999999999999992,Yes,Store Pickup,Yes,Yes,0.3061224489795918,Debit Card,Weekly,0,0,0,0,1,10,8,1,8,0,1,3,5,1,6
26,0.0,Hoodie,0.0625,Texas,M,Silver,Summer,0.44000000000000017,Yes,Express,Yes,Yes,0.26530612244897955,PayPal,Annually,0,0,1,0,0,9,42,1,19,2,1,4,1,1,0
27,0.3846153846153847,Jewelry,0.0,Nevada,M,Red,Spring,0.44000000000000017,Yes,Next Day Air,Yes,Yes,0.24489795918367344,Credit Card,Annually,0,1,0,0,0,12,27,1,18,1,1,2,3,1,0
28,0.730769230769231,Shorts,0.45000000000000007,Kentucky,L,Cyan,Summer,1.0,Yes,Next Day Air,Yes,Yes,0.12244897959183673,Bank Transfer,Every 3 Months,0,0,1,0,0,18,16,0,5,2,1,0,3,1,2
29,0.6923076923076924,Handbag,0.925,North Carolina,M,Gray,Fall,0.7600000000000002,Yes,Free Shipping,Yes,Yes,0.8163265306122448,PayPal,Every 3 Months,0,1,0,0,0,7,32,1,7,0,1,4,2,1,2
