iter	Passed	Remaining
0	3	3936
1	7	3779
2	11	3679
3	14	3715
4	18	3608
5	21	3628
6	25	3623
7	29	3619
8	32	3584
9	35	3520
10	38	3438
11	41	3431
12	44	3374
13	47	3366
14	51	3396
15	54	3378
16	57	3330
17	61	3333
18	64	3304
19	67	3293
20	70	3301
21	74	3325
22	78	3331
23	82	3362
24	86	3383
25	90	3390
26	94	3409
27	98	3409
28	102	3430
29	107	3463
30	111	3480
31	115	3479
32	118	3472
33	121	3459
34	125	3448
35	128	3436
36	131	3412
37	134	3400
38	136	3371
39	139	3350
40	142	3324
41	144	3305
42	147	3286
43	150	3267
44	153	3250
45	155	3232
46	158	3218
47	161	3197
48	164	3190
49	167	3174
50	169	3158
51	172	3148
52	175	3135
53	178	3135
54	181	3118
55	184	3104
56	186	3088
57	189	3075
58	192	3068
59	194	3053
60	197	3044
61	200	3031
62	202	3017
63	206	3014
64	208	3000
65	211	2993
66	214	2982
67	216	2971
68	219	2966
69	222	2953
70	225	2949
71	228	2943
72	231	2938
73	233	2926
74	236	2919
75	239	2911
76	241	2900
77	244	2893
78	247	2883
79	249	2873
80	252	2864
81	255	2854
82	257	2845
83	260	2836
84	262	2826
85	265	2818
86	267	2808
87	270	2801
88	272	2792
89	275	2784
90	277	2776
91	280	2767
92	282	2759
93	285	2753
94	288	2748
95	291	2745
96	294	2737
97	296	2730
98	299	2723
99	301	2717
100	304	2713
101	307	2706
102	310	2699
103	312	2696
104	315	2691
105	318	2685
106	320	2678
107	323	2672
108	326	2665
109	329	2663
110	332	2659
111	334	2653
112	337	2649
113	340	2642
114	342	2636
115	345	2630
116	347	2624
117	350	2620
118	353	2614
119	355	2607
120	358	2603
121	360	2596
122	363	2591
123	365	2584
124	368	2578
125	371	2573
126	373	2568
127	376	2564
128	379	2559
129	382	2557
130	384	2553
131	387	2548
132	390	2547
133	393	2542
134	396	2542
135	399	2536
136	402	2536
137	406	2536
138	409	2534
139	412	2532
140	416	2535
141	418	2531
142	421	2526
143	424	2523
144	426	2517
145	430	2516
146	433	2513
147	436	2512
148	439	2507
149	441	2501
150	445	2502
151	447	2498
152	451	2497
153	453	2491
154	456	2487
155	459	2484
156	462	2481
157	465	2480
158	467	2475
159	471	2474
160	473	2468
161	477	2469
162	480	2467
163	483	2465
164	486	2463
165	490	2462
166	492	2458
167	495	2454
168	498	2452
169	501	2447
170	504	2446
171	507	2441
172	510	2441
173	513	2437
174	516	2434
175	519	2431
176	521	2426
177	525	2424
178	527	2420
179	530	2418
180	533	2414
181	536	2412
182	539	2409
183	542	2405
184	545	2404
185	548	2401
186	552	2399
187	554	2396
188	558	2394
189	560	2390
190	563	2388
191	566	2383
192	569	2379
193	572	2378
194	575	2374
195	578	2374
196	581	2369
197	585	2369
198	587	2365
199	591	2364
200	593	2360
201	596	2356
202	599	2353
203	602	2349
204	605	2349
205	609	2349
206	613	2350
207	617	2350
208	620	2348
209	623	2346
210	626	2343
211	629	2340
212	633	2339
213	635	2335
214	638	2332
215	641	2328
216	644	2324
217	647	2320
218	649	2316
219	652	2315
220	655	2311
221	659	2309
222	661	2306
223	664	2303
224	667	2299
225	670	2295
226	673	2294
227	676	2291
228	690	2325
229	697	2333
230	702	2338
231	708	2346
232	713	2349
233	719	2354
234	725	2360
235	730	2365
236	736	2371
237	741	2374
238	746	2376
239	750	2378
240	755	2378
241	759	2378
242	763	2378
243	767	2376
244	771	2376
245	774	2373
246	778	2372
247	781	2370
248	784	2366
249	787	2361
250	790	2358
251	793	2354
252	796	2350
253	798	2345
254	801	2340
255	803	2336
256	806	2331
257	809	2327
258	811	2322
259	814	2317
260	817	2314
261	819	2309
262	822	2305
263	825	2300
264	827	2296
265	830	2291
266	833	2286
267	835	2283
268	838	2279
269	841	2274
270	843	2269
271	846	2265
272	848	2260
273	851	2256
274	854	2251
275	856	2247
276	859	2242
277	861	2238
278	864	2234
279	867	2230
280	870	2228
281	873	2223
282	876	2219
283	878	2215
284	881	2210
285	883	2206
286	886	2202
287	889	2198
288	892	2195
289	894	2190
290	897	2186
291	900	2183
292	903	2180
293	906	2175
294	908	2171
295	911	2167
296	914	2163
297	916	2159
298	919	2155
299	922	2151
300	924	2147
301	927	2143
302	930	2139
303	932	2135
304	935	2131
305	937	2127
306	940	2123
307	943	2118
308	945	2115
309	948	2111
310	950	2106
311	953	2102
312	956	2098
313	958	2094
314	961	2091
315	964	2087
316	967	2083
317	969	2079
318	972	2075
319	974	2071
320	977	2067
321	980	2063
